Hugo_Symbol,JAAB101,JAAB401,JAAB601,JAAB801,JAABA01,JAABE01,JAABF01,JAABH01,JAABI01,JAABK01
S100A5,0.822784869582219,0.845863228049007,0.406539674722031,0.824984966648277,0.821594633667975,0.789688419503896,0.833973465199686,0.836439694197088,0.864337032765865,0.815665965658554
NHLH1,0.394702796775243,0.410730511883324,0.219664947634127,0.41464018581812,0.369068600742691,0.490930117101514,0.456201754094835,0.504766034166945,0.293838620878279,0.492372665985876
RRS1,0.251006686303772,0.412312671874319,0.268463901467237,0.390190596382938,0.2523612159335,0.353650749511271,0.394560026736902,0.688632437553388,0.206826682645551,0.586634030132701
C6orf168,0.699903413245089,0.326859544355949,0.185823992156753,0.37031061674346,0.409969252552166,0.561154180528344,0.466529317131377,0.250738290392964,0.330373591664031,0.420009547520468
C3orf39,0.611252664782601,0.402430789760535,0.41520726144889,0.59948407780805,0.684473244379174,0.646440076061265,0.617034149349823,0.663219107945528,0.809268788902361,0.63163201500637
MMACHC,0.596787574192,0.554378067326241,0.458286737064493,0.756125031282779,0.793326533278925,0.624621204862126,0.625752308861302,0.91063404463238,0.935569300037654,0.673479371218657
MRPS18C,0.0529750433840126,0.0491274508239888,0.0657395179518438,0.061495757853716,0.0537543243920936,0.0690531184146998,0.05125541681082,0.0555655310871747,0.0518817618549706,0.0482599873862293
TMEM186,0.9550460317666,0.925184733352794,0.958076834649601,0.952111322754442,0.945755608447406,0.950115703231161,0.96048407139522,0.946067154320366,0.955159856780996,0.939113264127353
MED13,0.0550268866226761,0.0361152380932741,0.0380814379215068,0.0398735187845585,0.0394443634141986,0.0727817265205962,0.0336187647647697,0.0443308300444682,0.0472160699760975,0.0374115580944846
STC1,0.447141990764451,0.142263235260851,0.0963066192040709,0.100803999790915,0.243063572249026,0.0871463984537661,0.14795537538702,0.511140850983747,0.449871461944188,0.15046300525056
RUNDC1,0.229862200697369,0.179790742671869,0.175443545811324,0.449457045927617,0.346311917172176,0.313013385993425,0.367310200240279,0.231744135244366,0.288456905819856,0.173402477739019
KIDINS220,0.927782473612778,0.902787113212325,0.911093996295196,0.926604211202866,0.915827811148267,0.9191219009756,0.916159766372345,0.929926432715925,0.904038363934294,0.817993959610952
TTC13,0.202456861574162,0.168303661137373,0.156719011972649,0.188993486242258,0.252335636166787,0.199947405966139,0.154123374697918,0.132717525474448,0.202536855596487,0.255944521167351
C12orf34,0.829553298063444,0.619522721495095,0.73156218322232,0.824081692705947,0.717177219573419,0.798462775198388,0.700916140927931,0.695414211285328,0.862445797620262,0.567483602475862
RIN3,0.0400783505667456,0.025652017190695,0.388712273731395,0.0201475259449711,0.0299168368837042,0.02630220836944,0.0332240959164747,0.0238926276378682,0.0312369355425198,0.0352633076088863
RBPJL,0.688806656203917,0.676219343207869,0.625913863385265,0.761040780042732,0.6701254138104,0.748399388292281,0.690434100738422,0.553260903403817,0.79618757921868,0.662310361481015
TMEM88,0.865582637762921,0.860480561849697,0.811826355446214,0.853883461825556,0.782501899052217,0.898276687733795,0.848577979030571,0.852326444593798,0.903374052031686,0.827197613321023
GCSH,0.0260119918818649,0.0307494651836545,0.0317296801737609,0.0219335968733127,0.0330908642092647,0.0305402436034755,0.0337260726674031,0.0281999968418255,0.0255677631390283,0.0333477967480378
PRB1,0.730189828539415,0.921580751113737,0.8969088630096,0.912196445560258,0.814575714631769,0.838499575131666,0.869546193733878,0.842307047552913,0.899955298083046,0.856200224174302
TSPYL5,0.602477144711941,0.20506699346459,0.536374410190165,0.328910783824717,0.609248776987099,0.426599544661007,0.459691451121452,0.127722111503288,0.792344094650751,0.331791316788236
NDUFB10,0.109888271918239,0.0475045195082116,0.106874234868888,0.202180462006002,0.0780466933922104,0.0796084525331745,0.108671645429693,0.0668068258568089,0.0635635392410561,0.0810001610937127
TXNDC12,0.689635877355775,0.704567036718183,0.652967591029437,0.865633587509622,0.674199351264183,0.911640503507107,0.88602453422879,0.918795072143546,0.923148327163197,0.879659797814791
CUL5,0.124466215034395,0.0792239218086809,0.138829823028167,0.082846272252537,0.1207286384997,0.10611717001832,0.0729421871913964,0.0920108178011344,0.146658527921657,0.0919148276917869
MAPKAPK5,0.0315752243098706,0.0270914131036616,0.0359202291686714,0.0503929866891351,0.0417706859094457,0.0335344010598194,0.0437964807941048,0.037241838792496,0.0424803806212533,0.0361944179031991
SERPINB8,0.0358305038769923,0.0221063560854364,0.0295616571841004,0.0285808612929641,0.0345731406311977,0.0349263092387253,0.0313778357421065,0.0224284183384681,0.0347457362511377,0.0437589615391024
FOXP1,0.656823504057294,0.772386609617164,0.863387923200724,0.853967664239512,0.723282550689797,0.754639317760414,0.803501172197541,0.662211165084489,0.896867166725881,0.856183580514763
ATP1B2,0.420547873750113,0.0591051330262687,0.332089974902671,0.282273458861798,0.287149665320887,0.375999861101193,0.266983195425483,0.397066762350009,0.0771989991520224,0.214106246996239
PRR13,0.0222089567699739,0.0303395851155825,0.0251240165478326,0.0245206356456478,0.0285042381067129,0.0241462290033447,0.0298868073909926,0.0264535727979577,0.0256877554206662,0.0249712527356183
